pde/nopde,noise lv,n,sample_means,sample_std,l1-diff,rmse,W2_dists,TV upper,TV lower,TV upper H
nopde,noiselv01,50,0.26611734812146026,0.26298418554665015,0.2932315483385297,0.3519400186073945,0.06974631672381915,0.5766210057910282,0.21823576781231124,0.6606599243367366
nopde,noiselv01,500,0.4684651746756408,0.08195646111181122,0.07062375798545256,0.08781404629220584,0.002396019626535043,0.40426485808040924,0.10811254410890925,0.4650000948578597
nopde,noiselv01,1000,0.4808648435342421,0.057190993245569754,0.048276325585667725,0.060307246010606726,0.0010259305085501328,0.3868135218434264,0.0984721783906698,0.4437841330887571
nopde,noiselv01,5000,0.48835433930057354,0.025486737300185535,0.02239836451478043,0.02802133457447796,0.000264315968944503,0.41530605934425613,0.11402775611766669,0.47755158070655923
nopde,noiselv10,500,0.3970472020509402,0.09434070062130079,0.11726685889830409,0.13964041821499187,0.013210370226947673,0.6900380096613983,0.30932103950962087,0.7865380340576301
nopde,noiselv10,1000,0.4489706265911091,0.10425333521392006,0.09426129239945744,0.1160721967300094,0.007868674101740547,0.654209559311637,0.29352350466935884,0.7661899303297569
nopde,noiselv10,5000,0.4796759900469165,0.03474148303719757,0.032291333423339466,0.04024967110669262,0.0008331677789857957,0.5700314877007766,0.22242063922407895,0.6669642257633898
nopde,noiselv10,10000,0.47565071368490247,0.019318055369023993,0.02625794813332236,0.03108174717250095,0.0006805745208667248,0.7362870126482286,0.33842380069686995,0.8227074822765015
nopde,noiselv25,1000,0.12952751314292357,0.06972481262106155,0.3704823413114873,0.3769766743621001,0.1386202112404336,1.0,0.9974938932697771,1.412440365657805
nopde,noiselv25,5000,0.4251175416130817,0.07218455109171819,0.08681090204285932,0.10400957643592929,0.008988069003116828,0.9176109611746469,0.5251343574708905,1.0248261876736862
nopde,noiselv50,5000,0.026052753568047204,0.017968216846542998,0.47394724643195274,0.4742877283011596,0.224884223894426,1.0,1.0,1.4142135623730951
pde,noiselv01,50,0.3263599793500326,0.227898154811777,0.23228731995258853,0.2865107776994328,0.03859192166544439,0.48162283524081184,0.14910889731282417,0.5460932105654203
pde,noiselv01,500,0.47498792881911844,0.07883176788243056,0.06614060602657262,0.08270460284788807,0.0018626491141153852,0.37174873889320365,0.09038459212737782,0.4251695946969346
pde,noiselv01,1000,0.4862774717432841,0.05598778543980801,0.046088140276783714,0.0576449468749026,0.0007984228559907411,0.35967465216645744,0.08431517708076874,0.4106462640296847
pde,noiselv01,5000,0.49110525265323796,0.025423824327714704,0.02146830512060364,0.02693487281962232,0.0002058317211927582,0.3873388777856651,0.09869117221624724,0.44427732828999333
pde,noiselv10,500,0.43916367380520926,0.0833748487580779,0.08356455636152386,0.1032105808059975,0.005249659830980082,0.5153423943339555,0.1762226498622257,0.5936710366225149
pde,noiselv10,1000,0.44500673905884713,0.0574507540831244,0.06531703748008934,0.07952891231282722,0.0037321833245270155,0.5935316570773144,0.22819291619542548,0.6755633444695257
pde,noiselv10,5000,0.483036094209553,0.026285561646105706,0.025334568472473503,0.03128425883281216,0.00043111324681459443,0.4849740962091601,0.15646097626637567,0.5593942728816156
pde,noiselv10,10000,0.486405540886505,0.01805432845746424,0.018293130125394717,0.022600179084212826,0.00024756957673673227,0.5124744378023083,0.17302076266025934,0.5882529433164944
pde,noiselv25,1000,0.43619154430645146,0.06843130284813953,0.07685096027217682,0.09356474885067208,0.005498376204847134,0.6368129916936599,0.26956392228395565,0.7342532564230895
pde,noiselv25,5000,0.4698147974697528,0.02841203625286174,0.034471155914046765,0.04145347097440663,0.0010994748556521253,0.664567528127803,0.2866112376890366,0.7571145721606957
pde,noiselv50,5000,0.3960784484391333,0.07689667789399582,0.10978691434044793,0.12927794842876653,0.014657521343804918,1.0,0.6158270847470991,1.1097991572776573
